ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
자취,獨居生活,word,명사,自炊,jachwi,★ 漢字是「自炊」—— 自己開伙，引申為一個人在外生活。자취생＝獨居的學生／上班族、자취요리＝一人份料理、자취방＝租的小房間（取自 planD플랜디 影片標題）,자취한 지 삼 년 됐어요.,一個人住三年了。,"生活,場所"
집밥,家常飯,word,명사,,jipbap,집（家）+ 밥（飯）的固有語複合詞。★ 相對於 외식（外食），指自己在家煮的那種飯，帶有溫暖與踏實的語感（取自 planD플랜디 影片標題）,역시 집밥이 제일 편해요.,還是家常飯最自在。,"食物,療癒"
일상,日常,word,명사,日常,ilsang,漢字「日常」。일상 브이로그＝日常 vlog，韓國影片標題最高頻的詞之一（取自 planD플랜디 影片標題）,평범한 일상을 기록하고 있어요.,記錄著平凡的日常。,"療癒,生活"
장보다,採買,word,동사,,jangboda,장（場，市場）+ 보다。★ 不是「看市場」——買菜、採買日用品都用這個詞。장 보러 가다＝去買菜（取自 planD플랜디 影片標題）,주말에 장 보러 갈 거예요.,週末要去採買。,"生活,購物"
인테리어,室內佈置,word,명사,,interieo,외래어 interior。자취 인테리어＝小套房佈置，韓國生活風格內容的大類（取自 planD플랜디 影片標題）,인테리어를 조금 바꿔 봤어요.,稍微換了一下佈置。,"生活,個性"
프리랜서,自由工作者,word,명사,,peuriraenseo,외래어 freelancer。★ 韓語沒有更常用的漢字詞說法，直接用外來語（取自 planD플랜디 影片標題）,저는 프리랜서로 일해요.,我是自由工作者。,"職業,學習"
모음,合集,word,명사,,moeum,모으다（收集）的名詞形，固有語。모음영상＝合輯影片；標題裡常見 8가지 모음＝八種合輯（取自 planD플랜디 影片標題）,레시피 모음을 만들었어요.,做了食譜合集。,"學習,娛樂"
혼자 보내다,獨自度過,phrase,,,honja bonaeda,보내다 除了「寄送」也指「度過（時間）」。혼자 보내는 주말＝一個人度過的週末（取自 planD플랜디 影片標題）,이번 주말은 혼자 보낼 거예요.,這個週末打算一個人過。,"療癒,時間"
안 나가다,不出門,phrase,,,an nagada,안＋動詞＝否定（比 -지 않다 口語）。안 나가는 날＝不出門的日子，집순이 的日常（取自 planD플랜디 影片標題）,오늘은 안 나가고 집에 있을래요.,今天不出門，想待在家。,"生活,療癒"
챙겨 먹다,好好吃飯,phrase,,,chaenggyeo meokda,챙기다（細心顧到）+ 먹다。★ 不只是「吃」，是「有把飯當一回事地吃」，韓國人關心別人時的固定說法（取自 planD플랜디 影片標題）,바빠도 끼니는 챙겨 먹어요.,再忙也會好好吃飯。,"食物,關心"
간단하다,簡單,word,형용사,簡單하다,gandanhada,漢字「簡單」。간단 마라탕＝簡易版麻辣燙，料理影片標題常用來表示「不費工」（取自 planD플랜디 影片標題）,간단하게 만들 수 있어요.,可以很簡單地做出來。,"食物,學習"
끼니,一餐,word,명사,,kkini,固有語，沒有漢字詞源。指三餐中的一頓。끼니를 거르다＝跳過一餐（不吃）,끼니를 거르지 마세요.,不要不吃飯。,"食物,關心"
살림,持家,word,명사,,sallim,固有語。指打理家務的整體 —— 煮飯、洗衣、收納都算。살림살이＝家當、生活用品,혼자 살림하는 게 생각보다 어려워요.,一個人持家比想像中難。,生活
마라탕,麻辣燙,word,명사,麻辣湯,maratang,漢字「麻辣湯」。★ 源自中國，近年在韓國年輕人之間爆紅，是外食與自炊都常見的品項（取自 planD플랜디 影片標題）,요즘 마라탕에 빠졌어요.,最近迷上麻辣燙了。,食物
