ko,zh,romanization,type,pos,example_ko,example_zh,note,tags
엘리트,菁英,ellite,單字,명사,,,外來語 elite,身分
에너지,能量,eneoji,單字,명사,에너지가 없어요.,沒有力氣。,外來語 energy；也指體力、精神,科學
에디슨,愛迪生,edisen,單字,명사,,,人名 Edison,人名
에어쿠션,氣墊粉餅,eeokusyeon,單字,명사,,,外來語 air cushion；韓國彩妝發明，也說 쿠션 파운데이션,美妝
에어컨,冷氣,eeokeon,單字,명사,에어컨을 켜 주세요.,請開冷氣。,외래어 縮略：에어컨디셔너 → 에어컨。韓語常這樣砍外來語，如 아파트、리모컨,家電
엑스레이,X 光,ekseurei,單字,명사,,,外來語 x-ray；醫療正式用語是 방사선（放射線）,醫療
엔지니어,工程師,enjinieo,單字,명사,,,外來語 engineer；漢字詞同義說法是 기술자（技術者）,職業
엔터테인먼트,娛樂,enteoteinmeonteu,單字,명사,,,外來語 entertainment；常縮成 엔터，如 연예 엔터（演藝公司）,產業
엘리베이터,電梯,ellibeiteo,單字,명사,,,外來語 elevator；標示牌上多寫漢字詞 승강기（昇降機）,設施
핫해 핫해,超夯,hathae hathae,詞組,,,,핫하다（hot + 하다）＝正紅、當紅。重複兩次加強語氣,網路用語
