ko,zh,romanization,type,pos,example_ko,example_zh,note,tags
사람,人,saram,單字,명사,저 사람은 누구예요?,那個人是誰？,,基礎
학생,學生,haksaeng,單字,명사,저는 한국어 학생이에요.,我是韓語學生。,,身分
선생님,老師,seonsaengnim,單字,명사,선생님께 질문이 있어요.,我有問題想請教老師。,님 是敬稱後綴,身分
친구,朋友,chingu,單字,명사,친구를 만나요.,和朋友見面。,,身分
물,水,mul,單字,명사,물 좀 주세요.,請給我一點水。,,食物
밥,飯,bap,單字,명사,밥을 먹었어요?,吃飯了嗎？,也泛指「一餐」,食物
커피,咖啡,keopi,單字,명사,커피 한 잔 주세요.,請給我一杯咖啡。,外來語,食物
집,家,jip,單字,명사,집에 가요.,回家。,,場所
학교,學校,hakgyo,單字,명사,학교에 가요.,去學校。,,場所
가다,去,gada,單字,동사,어디에 가요?,你要去哪裡？,原形；活用為 가요,動詞
오다,來,oda,單字,동사,친구가 와요.,朋友來了。,,動詞
먹다,吃,meokda,單字,동사,뭘 먹고 싶어요?,你想吃什麼？,,動詞
마시다,喝,masida,單字,동사,물을 마셔요.,喝水。,,動詞
보다,看,boda,單字,동사,영화를 봐요.,看電影。,,動詞
좋다,好,jota,單字,형용사,날씨가 좋아요.,天氣很好。,,形容詞
크다,大,keuda,單字,형용사,집이 커요.,房子很大。,,形容詞
많다,多,manta,單字,형용사,사람이 많아요.,人很多。,,形容詞
지금,現在,jigeum,單字,부사,지금 뭐 해요?,你現在在做什麼？,,時間
안녕하세요,你好,annyeonghaseyo,詞組,인사말,,,一天之中任何時候都能用,問候
감사합니다,謝謝,gamsahamnida,詞組,인사말,,,比 고마워요 更正式,問候
잠깐만요,請等一下,jamkkanmanyo,詞組,,,,叫住別人時常用,日常
얼마예요?,多少錢？,eolmayeyo,詞組,표현,,,購物必備,購物
저는 한국어를 공부해요.,我在學韓語。,jeoneun hangugeoreul gongbuhaeyo,句子,,,,저는=我（謙稱）,自我介紹
만나서 반갑습니다.,很高興認識你。,mannaseo bangapseumnida,句子,,,,初次見面用,問候
한국 음식을 좋아해요.,我喜歡韓國料理。,hanguk eumsigeul joahaeyo,句子,,,,,喜好
